date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:11	206784/206784	---M-Z	200	added ('OK')	image/png	etag:%2202e4a8f8ed11788246e7603bfb3eee23%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/moon-7557aaf1f5d78159603d2a47cae51fa8.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/moon-7557aaf1f5d78159603d2a47cae51fa8.png	(from https://axieinfinity.com/)
01:02:11	2276038/2276038	---M--	200	added ('OK')	image/png	etag:%2204d172b02d9165c4f38823952c85a509%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-ring-b9996e3e8fe9b463920384977b0d854c.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-ring-b9996e3e8fe9b463920384977b0d854c.png	(from https://axieinfinity.com/)
01:02:18	1355345/1355345	---M-Z	200	added ('OK')	image/png	etag:%22ceae4d3a18a9dfa6e0908dd163287603%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/banner-941f68fe82413ac57390b1d4b6ca51ef.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/banner-941f68fe82413ac57390b1d4b6ca51ef.png	(from https://axieinfinity.com/)
01:02:19	5220397/5220397	---M-Z	200	added ('OK')	image/png	etag:%2235014b10d8ab51af9311f986b364edfa%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-right-9a0f5aaade736ce3540237e95092c057.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-right-9a0f5aaade736ce3540237e95092c057.png	(from https://axieinfinity.com/)
01:02:19	852462/852462	---M-Z	200	added ('OK')	image/png	etag:%221d71184479305428f1db2eef01b8737a%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/red-2b3fc4ae6250a5db84d48bf2ddfed83b.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/red-2b3fc4ae6250a5db84d48bf2ddfed83b.png	(from https://axieinfinity.com/)
01:02:19	807391/807391	---M-Z	200	added ('OK')	image/png	etag:%22f5e8adafc367345e19ca6b0ed55d47ad%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/green-aec93d4afc5eea3e3a7fd9658c7acd51.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/green-aec93d4afc5eea3e3a7fd9658c7acd51.png	(from https://axieinfinity.com/)
01:02:20	895000/895000	---M-Z	200	added ('OK')	image/png	etag:%22fbad539f16e284d6ffe2d4e33b771941%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/blue-8e1cbf14b56adf804d78a25611d2f718.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/blue-8e1cbf14b56adf804d78a25611d2f718.png	(from https://axieinfinity.com/)
01:02:20	245472/245472	---M-Z	200	added ('OK')	image/png	etag:%222fe9fb3c3912f3229dc2b10f5427c0ba%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/sea-slug-587724c623b8d1f6ada58c8da0fd53fd.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/sea-slug-587724c623b8d1f6ada58c8da0fd53fd.png	(from https://axieinfinity.com/)
01:02:20	5680554/5680554	---M-Z	200	added ('OK')	image/png	etag:%227ab5f7cbf0c54dc8512f99b4abcfb083%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-left-8a42b1bbb1981395024c3f288ac700af.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-left-8a42b1bbb1981395024c3f288ac700af.png	(from https://axieinfinity.com/)
01:02:26	1379990/1379990	---M-Z	200	added ('OK')	image/png	etag:%22fa289b49dd5e1b1b851fae359a55616c%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/drawer-mobile-3ef1f07f67a7161e4435c7ca5b4a5eee.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/drawer-mobile-3ef1f07f67a7161e4435c7ca5b4a5eee.png	(from https://axieinfinity.com/)
